Term,ID,FIRST,SEX,Student Type,PAID AMT
202001,562054213,Patrick,M,Continuing,
202001,329399271,Anahi,F,Continuing,
202001,647454323,Akeem,M,Continuing,
202001,881567915,Danielle,F,Continuing,"$2,995.00 "
202001,437571409,April,F,Continuing,"$1,095.00 "
202001,878588385,Evan,M,Continuing,"$1,795.00 "
202001,404575040,Cesar,M,Continuing,"$6,345.00 "
202001,156000155,Christopher,M,Continuing,
202001,499906072,Scott,M,Continuing,
202001,891506354,Julia,F,Continuing,
202001,503069302,Jazzmine,F,Continuing,
202001,382311970,Abigail,F,Continuing,
202001,389423715,Chayanis,F,Continuing,
202001,732302574,Nawfa,F,Continuing,"$6,095.00 "
202001,885530408,Paris,M,Continuing,
202001,638252633,Sarah,F,Continuing,"$6,345.00 "
202001,507792326,Babirye,F,Continuing,
202001,643050870,Awad,M,Continuing,"$6,345.00 "
202001,192954589,Chau,F,Continuing,
202001,621936948,Payne,M,Continuing,
202001,500053290,Kaci,F,Continuing,
202001,168603263,Kaitlyn,F,Continuing,
202001,133740451,Vanessa,F,Continuing,
202001,405895468,Cipriano,M,Continuing,
202001,588305623,Alyson,F,Continuing,
202001,459139291,Neari,F,Returning,
202001,623712659,Abigail,F,Returning,"$6,345.00 "
202001,426659793,Abdul Noor,M,Continuing,
202001,451924366,Tyler,M,Continuing,
202001,329232703,Quincy,M,Continuing,
202001,147269862,Erin,F,Continuing,
202001,813909510,Summer,F,Continuing,
202001,930457212,Kabeer,M,Continuing,
202001,333351057,Chandler,M,Continuing,"$6,195.00 "
202001,637731535,Colby,M,Continuing,
202001,819120040,Shadizja,F,Continuing,
202001,892449046,Rejoya,F,Continuing,
202001,448644216,Javier,M,Continuing,
202001,398772946,Drew,M,Continuing,
202001,165626133,Tyson,M,Continuing,
202001,915007292,Marcus,M,Continuing,
202001,630983193,Samual,M,Continuing,
202001,523424533,Erica,F,Continuing,
202001,930250137,Fatima,F,Continuing,"$1,895.00 "
202001,179974445,Anthony,M,Returning,"$1,298.00 "
202001,786659339,Talon,M,Continuing,
202001,710667061,Aikeem,M,Continuing,
202001,340273397,Hilaal,M,Continuing,
202001,726547141,Haleema,F,Continuing,
202001,713599965,Hayden,M,Continuing,
202001,775713955,Sarah,F,Continuing,
202001,968840517,Fikriyya,F,Continuing,
202001,996137038,Matthew,M,Continuing,
202001,638911152,Damaris,F,Continuing,
202001,498073186,Jerod,M,Returning,
202001,324503478,Hamsa,F,Continuing,
202001,587764820,Jesus,M,Returning,"$5,695.00 "
202001,696469225,Amanda,F,Continuing,
202001,133352642,Katiery,F,Continuing,
202001,326976850,Ty,M,Continuing,
202001,871832157,Antonio,M,Continuing,
202001,470920428,Safaaa,F,Continuing,
202001,586461436,Alfred,M,Continuing,
202001,669935878,Preston,M,Continuing,
202001,489118862,Kameel,M,Continuing,"$2,595.00 "
202001,459921729,Daamir,M,Continuing,
202001,991854378,Shenoa,F,Continuing,
202001,407567889,Wakiyan,M,Continuing,
202001,226735670,Minnas,M,Returning,
202001,952477725,Davone,M,Continuing,
202001,216216177,Kailen,F,Continuing,
202001,628142855,Joshua,M,Continuing,
202001,431805338,Jeraldo,M,Continuing,
202001,295618610,Firdaus,F,Continuing,
202001,160506304,Christopher,M,Continuing,"$6,345.00 "
202001,201145358,Sadi,M,Continuing,
202001,775015971,Kaylee,F,Continuing,
202001,265412198,Ashley,F,Continuing,
202001,549661224,Luke,M,Continuing,
202001,213736686,Laila,F,Continuing,
202001,640931167,Lacie,F,Continuing,
202001,347490037,Kiana,F,Continuing,
202001,798803894,Zachary,M,Continuing,
202001,344404081,Jeffrey,M,Continuing,
202001,629773024,Zuraara,M,Continuing,
202001,630324527,Johnny,M,Continuing,
202001,319164277,Aaron,M,Continuing,
202001,272248890,Musheera,F,Continuing,
202001,763756745,Stephanie,F,Continuing,
202001,310086391,Isaiah,M,Continuing,
202001,443032506,Daisha,F,Continuing,
202001,946749866,Kristen,F,Continuing,$695.00 
202001,378841748,Deana,F,Continuing,"$6,345.00 "
202001,592478704,Thao,F,Continuing,
202001,363694147,Janette,F,Continuing,
202001,789078794,Brooklynn,F,Returning,
202001,440030214,Timane,M,Continuing,
202001,171208304,Waylene,F,Returning,
202001,302390400,Kourtney,F,Continuing,
202001,865649892,Caitlyn,F,Continuing,
202001,960321397,Michelle,F,Continuing,
202001,586115944,Darian,M,Continuing,
202001,515566097,Kevin,M,Returning,
202001,567741294,Glen,M,Continuing,
202001,193325087,Luis,M,Continuing,
202001,240786430,Tylyr,F,Continuing,
202001,244013035,Benjamin,M,Continuing,
202001,239547965,Asre,M,Continuing,
202001,572837491,Jessica,F,Continuing,
202001,461795728,Rene,M,Continuing,
202001,122029226,Alexandria,F,Continuing,
202001,866394166,Yoosuf,M,Continuing,
202001,647166004,Sky,M,Returning,"$6,095.00 "
202001,723941932,Daishavon,M,Continuing,
202001,314462305,Amanda,F,Continuing,
202001,644013941,Whitney,F,Continuing,
202001,609612483,Macey,M,Continuing,
202001,788816362,Benjamin,M,Continuing,
202001,646133790,Samantha,F,Continuing,$995.00 
202001,547152905,Jonathan,M,Continuing,
202001,129784557,James,M,Continuing,
202001,106909814,Joshua,M,Returning,
202001,557662100,Toby,M,Continuing,
202001,453113018,James,M,Continuing,
202001,285813777,Camille,F,Continuing,
202001,871142222,Shawn,M,Continuing,"$4,795.00 "
202001,983522862,Jumail,M,Continuing,"$4,395.00 "
